time_value,geo_value,value,activity_level,region_value,national_value
2022-05-28,fl,6.659797025610633,5.0,4.715305242420613,3.9527549651910134
2022-05-14,fl,4.228400152216054,4.0,3.2467874781581996,2.3413242828403025
2023-01-28,fl,5.560500009859543,5.0,2.0232284138948913,2.407486346119722
2022-08-27,fl,1.3003292585051347,2.0,1.3611795272105405,1.5185902446031085
2024-07-13,fl,1.8400969404250396,3.0,1.2638409048196273,1.4196861271020738
2024-10-05,fl,1.7934557256526111,3.0,1.5412209891737858,1.3739216040782032
2022-08-06,fl,1.06547668070929,2.0,1.1826219545825727,1.1042553236918213
2023-08-19,fl,1.6707917951259574,3.0,1.6596336835875753,1.4807484866154388
2022-04-16,fl,3.761832424138299,4.0,3.263483493246216,2.447422169606124
2024-03-23,fl,4.614289156279408,5.0,2.950103255020136,3.299684987322135
2024-04-13,fl,3.303581090980212,4.0,2.871141009504599,3.366999257903192
2024-05-18,fl,2.7257168457954553,4.0,1.7402438072958892,2.3725930397402424
2022-07-09,fl,1.4368999961453588,2.0,1.3670179455151494,1.4368999961453588
2024-03-02,fl,7.777978702805722,6.0,5.8965985580970415,6.503885531792079
2023-12-09,fl,9.7905226951617,6.0,4.6545920048536695,5.35430081681578
2023-01-21,fl,5.882225349558862,5.0,3.0056892470122776,3.2153632624583453
2023-10-21,fl,3.441398924922535,4.0,1.5993204429532226,1.4860415813469907
2022-10-08,fl,2.7693641396933284,4.0,2.05931939970983,1.2340003367841663
2023-02-11,fl,2.9341254976781523,4.0,2.425170358870096,1.814225854793038
2024-05-04,fl,2.440637073606617,3.0,2.006739300174484,2.6382211630474357
2023-05-06,ga,1.1996585989452142,2.0,1.4986783216220096,1.4428392895396756
2023-01-14,ga,5.949280194564625,5.0,3.954088972832187,4.904806969932883
2022-11-19,ga,12.519453466429324,7.0,12.46578354943157,12.228303477268934
2024-06-29,ga,1.4265345277173493,2.0,1.237849887707457,1.4704363218180896
2023-12-16,ga,18.635992105885826,8.0,8.155772149863358,7.43642340903787
2022-12-24,ga,8.615915541887258,6.0,9.30938759140179,17.419358383859745
2023-08-12,ga,1.7998752127647908,3.0,1.6616725593892987,1.456837989167276
2023-05-13,ga,1.1879554853295933,2.0,1.5189376610585499,1.4400862420953016
2022-08-13,ga,1.115813026036791,2.0,1.1857371204029483,1.361119968695806
2024-01-27,ga,15.693471268973468,8.0,9.186955044731464,8.889693183205093
2024-06-22,ga,2.2481939770003514,3.0,1.293302248828831,1.372765530573848
2022-11-12,ga,14.0021811362388,7.0,13.077148853128113,8.097128739553996
2022-07-02,ga,2.020211652323932,3.0,1.4282683296764844,1.6663594500796208
2022-12-03,ga,12.030620188110996,6.0,12.068144562686008,23.643208719864063
2023-09-02,ga,1.478890322252509,2.0,1.4539693686644612,1.345114177247681
2023-07-22,ga,1.528961118902821,2.0,1.5419962118477457,1.41042084361778
2024-04-06,ga,4.648427084126275,5.0,3.6585522731885725,4.3737211924495565
2024-02-10,ga,10.432128155877656,6.0,6.49045470571633,7.639733091854434
2022-09-10,ga,1.2671638319669756,2.0,1.5501224711991441,1.2631074452966842
2024-06-08,ga,2.2697734952923985,3.0,1.4071739807970223,1.728889210463115
2023-11-18,ga,6.558560992546635,5.0,2.6748246869068377,1.9337653341523473
2023-10-28,ga,4.01209139144123,4.0,1.607437924482987,1.4636725470882075
2023-07-08,ga,1.2281016130940015,2.0,1.3336136394609366,1.3199627808289685
2022-10-22,ga,10.034580009622418,6.0,7.610216951941194,1.4671604288012663
2024-08-24,ga,1.6240305489646791,3.0,1.415211276572938,1.3692773565268315
2024-09-28,ga,1.5746786583293173,2.0,1.4747261750806235,1.371334589038172
2023-07-01,ga,1.3998731458610358,2.0,1.5073028571239138,1.3453891503511874
2024-04-20,ga,5.826672272789915,5.0,2.2816396437724014,3.1983654935058623
2023-09-09,ga,1.7162850784525903,3.0,1.5041201268667324,1.399992202202848
2024-09-21,ga,1.623464551829409,3.0,1.3155942987790712,1.2080925718451165
2022-07-23,ga,1.4603634799119798,2.0,1.285013437214213,1.3306698593821829
2023-11-25,ga,8.779007887327179,6.0,3.3149452654775,2.1818864637961437
2023-12-30,ga,36.097612821891374,10.0,16.576008605910516,15.052858636599094
2022-10-29,ga,12.83704512456329,7.0,11.542091714922142,3.3803622377520646
2022-09-03,ga,1.921422893251761,3.0,1.1996508172174003,1.095080665886382
2023-06-10,ga,1.2174288742996264,2.0,1.5772056055505934,1.2903321532996692
2023-07-15,ga,1.4960366325109529,2.0,1.545085327786938,1.47614745069149
2024-06-15,ga,1.9945074344129565,3.0,1.3740583794989873,1.613460594335774
2024-10-19,ga,1.6234641565519796,3.0,1.398834379647548,1.2898643548143558
2023-10-14,ga,3.9176910857556777,4.0,1.6331148195096397,1.3805268406369877
2024-10-12,ga,1.4731093071830987,2.0,1.3173131717242157,1.1764454223026086
2024-07-20,ga,2.45232954636149,3.0,1.2382087868652714,1.4996599326436786
2024-03-30,ga,6.201085540647531,5.0,3.683598389232669,3.5527952363573236
2024-02-17,ga,10.531219484960292,6.0,7.157877064133489,7.329559385152467
2022-11-05,ga,14.069053576768372,7.0,11.19630492824561,5.032461991911971
2024-07-27,ga,1.561638048276582,2.0,1.5545390506223775,1.4564584857037832
2023-01-07,ga,6.906084948816437,5.0,6.28159299588078,9.426540237930473
2023-04-01,ga,1.4260650775351418,2.0,1.3614359109066005,1.6293185180403988
2024-02-24,ga,10.203444507835911,6.0,6.182572256952565,7.036086485527335
2024-05-25,ga,2.5283897441896426,3.0,1.700277892025701,1.880306294247108
2023-09-23,ga,2.0175161623123583,3.0,1.747580837755877,1.6133003529952614
2023-02-04,ga,3.5930571414779178,4.0,2.3400513722996568,2.164066207929189
2024-01-06,ga,26.431839400899893,10.0,13.943107117999087,12.541679065590756
2024-01-13,ga,21.453368628771734,9.0,11.889069463754325,11.043242875311522
2023-10-07,ga,4.4220244539750695,4.0,2.07414368012805,1.3580279338231172
2023-05-20,ga,1.4546237822356218,2.0,1.5828742150303363,1.4323665138819244
2023-04-22,ga,1.54071884430023,2.0,1.2557724771922962,1.376843519035452
2023-11-04,ga,2.4383509745252177,3.0,2.0116725710582477,1.8342216409705192
2022-10-15,ga,11.68767975251626,6.0,4.06076015611433,1.5328514886304672
2023-06-24,ga,1.3059319192863095,2.0,1.399155304443222,1.3615571816181404
2023-02-25,ga,1.942305180012435,3.0,1.5310677287454761,1.6337508178618774
2023-09-30,ga,2.2715366154628183,3.0,1.9226022240106615,1.5405270662102808
2024-08-17,ga,1.6792923451979476,3.0,1.4104872449774586,1.299490275477278
2024-09-07,ga,1.753459359117277,3.0,1.4447803422669132,1.2637017554747572
2024-06-01,ga,2.515191832673917,3.0,1.4853299849557464,1.9186753079988232
2024-01-20,ga,15.782079366458618,8.0,9.63396883627489,8.963190797712715
2023-06-17,ga,1.7609975151457131,3.0,1.5409360876030949,1.3557491431179105
2022-08-20,ga,1.7251574091786548,3.0,1.209943219625889,1.170363563703495
2023-04-29,ga,1.1865668902332347,2.0,1.3377185956427695,1.3675909249107159
2023-04-15,ga,1.6306581714596065,3.0,1.6749223372875306,1.6337640667242943
2023-12-02,ga,10.782081655796794,6.0,4.2088042106725885,4.351337352381651
2022-07-30,ga,,,1.3777267064549712,1.2628348011519102
2022-10-01,ga,8.522166501856306,6.0,1.6139735318112942,1.410136954712486
2022-11-26,ga,12.542921903759753,7.0,14.36182064683224,15.544459851057255
2023-03-11,ga,2.1549297876875833,3.0,1.3556890000449915,1.7452642933827909
2022-12-10,ga,11.67913931537164,6.0,9.897284931632774,18.88474766963888
2022-09-24,ga,7.828897662630958,6.0,1.6221254987099505,1.524064564372376
2023-08-05,ga,1.3885893573972814,2.0,1.4254530954008207,1.3257715684745486
2023-03-04,ga,1.7850222166861283,3.0,1.4457726187012216,1.7864804377838208
2023-04-08,ga,1.173425740035154,2.0,1.5035423483393007,1.6901722681493272
2023-03-18,ga,1.3687612510640985,2.0,1.4399827517499166,1.8597026909533771
2023-05-27,ga,1.7545759385874304,3.0,1.5609073795044859,1.3664400937876373
2022-12-17,ga,8.33261787970711,6.0,9.017503082329464,18.856925037046327
2024-05-11,ga,4.420091068108106,4.0,2.0144377897662062,2.855700300645851
2024-07-06,ga,1.4278243974338258,2.0,1.3088643910101598,1.3493161204339281
2023-02-18,ga,2.3658041164538592,3.0,1.8063169981462717,1.8588259118008845
2024-08-10,ga,1.344147658439502,2.0,1.3334050099288508,1.4050506018330264
2023-09-16,ga,1.5589283303047208,2.0,1.6999424204260865,1.545762350512689
2024-09-14,ga,1.9849802482090848,3.0,1.26602868644515,1.2388566762367494
2024-03-09,ga,7.795609148622649,6.0,4.706543111444064,5.347784974320218
2023-06-03,ga,1.184036438198974,2.0,1.4475742398593026,1.3153472655870944
2022-07-16,ga,1.7349688407885613,3.0,1.490965679671187,1.6301646019476994
2024-08-31,ga,1.5973404216399838,2.0,1.3865497644845486,1.3212852432489939
2023-12-23,ga,23.144949086838437,9.0,10.52804531515826,9.987308810716254
2023-08-26,ga,1.4725102817956328,2.0,1.4366522350600461,1.359311098166365
2022-12-31,ga,8.900656367479076,6.0,9.597086859674016,14.423090887794473
2023-07-29,ga,1.3073931653211601,2.0,1.4408104533830814,1.3198223804807878
2023-11-11,ga,6.381567887781326,5.0,1.8880537373679744,1.699282739577417
2024-03-16,ga,4.744468371946376,5.0,3.710148156671548,4.044689780395984
2024-08-03,ga,1.5693745277143725,2.0,1.3289084670187394,1.3321149867764794
2024-04-27,ga,4.269942743632985,4.0,2.27414767568533,2.4617600583676813
2022-09-17,ga,1.9955922727586712,3.0,1.3340906805511081,1.2918152835587338
2023-03-25,ga,1.5199082404484858,2.0,1.6001887394295997,1.6945225163730795
2024-02-03,ga,13.366615451687192,7.0,8.70567533821067,8.712181258542067
2022-08-27,ga,2.5536771445965227,3.0,1.3611795272105405,1.5185902446031085
2023-01-28,ga,2.996854867610585,4.0,2.0232284138948913,2.407486346119722
2023-08-19,ga,1.7420303141858855,3.0,1.6596336835875753,1.4807484866154388
2024-07-13,ga,1.4822662021877462,2.0,1.2638409048196273,1.4196861271020738
2024-10-05,ga,1.7004755271079608,3.0,1.5412209891737858,1.3739216040782032
